address,amenities,lat,link,lon,name,price,prize_range,size,tenure
"Jalan 9/48A, Sentul Pasar, 51000 Sentul, 51000, Kuala Lumpur","3 Bedroom(s),2 Bathroom(s),1 Parking Bay(s)",3.189622,https://www.iproperty.com.my/property/mutiara-sentul-sentul-5550432,101.691899,"Mutiara Sentul, Sentul","RM 380,000",High,935 sq. ft.,Freehold
"jalan Rawang Putra 8, 48000, Selangor","3 Bedroom(s),2 Bathroom(s),6 Parking Bay(s)",3.323338,https://www.iproperty.com.my/property/townhouse-rawang-5481695,101.583811,"Taman Bukit Rawang Putra, Rawang","RM 320,000",High,"1,999 sq. ft.",Freehold
"Jalan Sri Hartamas 17, Taman Sri Hartamas, 50480 S, 50480, K...","Studio Bedroom(s),1 Bathroom(s),1 Parking Bay(s)",3.164661,https://www.iproperty.com.my/property/mayfair-apartment-sri-hartamas-5536678,101.656923,"Mayfair Apartment, Sri Hartamas","RM 360,000",High,429 sq. ft.,Freehold
"No. 3, Persiaran Meranti, PJU 9,, 41050, Kuala Lumpur","3 Bedroom(s),2 Bathroom(s),1 Parking Bay(s)",3.188519,https://www.iproperty.com.my/property/sd-apartments-ii-bandar-sri-damansara-5555000,101.602509,"Sd Apartments Ii, Bandar Sri Damansara","RM 305,000",High,807 sq. ft.,Freehold
"No.2 Jalan 6/38A, 51200, Kuala Lumpur","3 Bedroom(s),2 Bathroom(s)",3.185884,https://www.iproperty.com.my/property/prima-tiara-ii-segambut-3828812,101.652486,"Prima Tiara Ii, Segambut","RM 380,000",High,918 sq. ft.,Freehold
Kuala Lumpur,"3 Bedroom(s),2 Bathroom(s)",3.191726,https://www.iproperty.com.my/property/2-sty-terrace-link-house-segambut-5175436,101.673387,"Taman Segambut Muda Damai , Sri Sinar, Segamb..","RM 370,000",High,880 sq. ft.,Freehold
"Jalan 34/38A, Taman Sri Bintang, 51200, Kuala Lumpur","3 Bedroom(s),2 Bathroom(s),1 Parking Bay(s)",3.185914,https://www.iproperty.com.my/property/nova-ii-segambut-5376253,101.64793,"Nova Ii, Segambut","RM 328,000",High,833 sq. ft.,Freehold
"Jalan medan putra, Bandar Manjalara, Kuala Lumpur, 52100, Ku...","3 Bedroom(s),2 Bathroom(s),1 Parking Bay(s)",3.193701,https://www.iproperty.com.my/property/avelon-tower-plaza-medan-putra-kepong-4737175,101.626432,"Avelon Tower, Plaza Medan Putra, Bandar Menja..","RM 360,000",High,808 sq. ft.,Freehold
"Jalan Puchong, Off Old Klang Road, 58200, Kuala Lumpur","3 Bedroom(s),2 Bathroom(s),1 Parking Bay(s)",3.068471,https://www.iproperty.com.my/property/oug-parklane-old-klang-road-4676873,101.656483,"Oug Parklane, Old Klang Road","RM 355,000",High,950 sq. ft.,Freehold
"Jalan Puchong, Off Old Klang Road, 58200, Kuala Lumpur","3 Bedroom(s),2 Bathroom(s),1 Parking Bay(s)",3.068471,https://www.iproperty.com.my/property/oug-parklane-old-klang-road-5206007,101.656483,"Oug Parklane, Old Klang Road","RM 350,000",High,950 sq. ft.,Freehold
"Jalan Puchong, Off Old Klang Road, 58200, Kuala Lumpur","3 Bedroom(s),2 Bathroom(s),1 Parking Bay(s)",3.068471,https://www.iproperty.com.my/property/oug-parklane-old-klang-road-4864311,101.656483,"Oug Parklane, Old Klang Road","RM 355,000",High,950 sq. ft.,Freehold
"Jalam Gombak Sejahtera, Gombak, 53000, Kuala Lumpur","2 Bedroom(s),1 Bathroom(s)",3.19802,https://www.iproperty.com.my/property/mh-platinum-residences-setapak-4984023,101.705541,"Mh Platinum Residences, Setapak","RM 350,000",High,684 sq. ft.,Freehold
"No. 3, Persiaran Meranti, PJU 9,, 41050, Kuala Lumpur","3 Bedroom(s),2 Bathroom(s),1 Parking Bay(s)",3.188519,https://www.iproperty.com.my/property/sd-apartments-ii-bandar-sri-damansara-5554417,101.602509,"Sd Apartments Ii, Bandar Sri Damansara","RM 350,000",High,820 sq. ft.,Freehold
