address,amenities,lat,link,lon,name,price,prize_range,size,tenure
"Jalan Cheras Perdana, Taman Cheras Perdana,, 43200, Selangor","3 Bedroom(s),2 Bathroom(s),1 Parking Bay(s)",3.046967,https://www.iproperty.com.my/property/cheras-perdana-apartment-block-a-b-c-cheras-5444397,101.768014,"Cheras Perdana Apartment Block A, B, C, Batu ..","RM 250,000",Low,856 sq. ft.,Freehold
"Jalan Setia Permai U13 40170 Shah Alam, 40170, Selangor","3 Bedroom(s),2 Bathroom(s),2 Parking Bay(s)",3.127685,https://www.iproperty.com.my/property/seri-pinang-shah-alam-5212036,101.473513,"Seri Pinang, Setia Alam, Shah Alam","RM 288,000",Low,850 sq. ft.,Freehold
"Taman Puchong Intan, 47100, Selangor","3 Bedroom(s),2 Bathroom(s)",3.016978,https://www.iproperty.com.my/property/puchong-intan-puchong-5526012,101.606139,"Puchong Intan, Puchong","RM 230,000",Low,"1,048 sq. ft.",Freehold
"No. 11 Jalan Metafasa U16/3, Section U16, 40160 Sh, 40150, S...","3 Bedroom(s),2 Bathroom(s),1 Parking Bay(s)",3.174582,https://www.iproperty.com.my/property/pangsapuri-cendana-shah-alam-5231294,101.512192,"Pangsapuri Cendana, Taman Bukit Subang, Shah ..","RM 218,000",Low,850 sq. ft.,Freehold
"Jalan Setia Permai U13 40170 Shah Alam, 40170, Selangor","3 Bedroom(s),2 Bathroom(s),2 Parking Bay(s)",3.131582,https://www.iproperty.com.my/property/seri-pinang-shah-alam-4959864,101.466948,"Seri Pinang, Setia Alam, Shah Alam","RM 300,000",Low,850 sq. ft.,Freehold
"Persiaran Kewajipan, USJ 19, 47630, Selangor","1 Bedroom(s),1 Bathroom(s)",3.043901,https://www.iproperty.com.my/property/rhythm-avenue-usj-19-usj-1697296,101.58065,"Rhythm Avenue Usj 19, Subang Jaya, Usj","RM 235,000",Low,443 sq. ft.,Freehold
"No. 3 Jalan Anggerik Aranda 31/42, Section 31, 404, 40150, S...","3 Bedroom(s),2 Bathroom(s),1 Parking Bay(s)",2.990024,https://www.iproperty.com.my/property/pangsapuri-sri-kemuning-shah-alam-5411382,101.549278,"Pangsapuri Sri Kemuning, Shah Alam","RM 206,000",Low,750 sq. ft.,Freehold
"Gombak, Batu Caves, Selangor, 68100, Selangor","3 Bedroom(s),2 Bathroom(s),2 Parking Bay(s)",3.253582,https://www.iproperty.com.my/property/amara-boulevard-and-service-residences-batu-caves-5438736,101.669762,"Amara Boulevard And Service Residences, Batu ..","RM 298,000",Low,830 sq. ft.,Freehold
"Prima Saujana Permai, 43000, Selangor","3 Bedroom(s),2 Bathroom(s),1 Parking Bay(s)",3.01258,https://www.iproperty.com.my/property/pangsapuri-saujana-permai-kajang-5173270,101.811356,"Pangsapuri Saujana Permai, Mutiara Height, Ka..","RM 230,000",Low,768 sq. ft.,Freehold
"Persiaran Setia Perdana, 40170, Selangor","Studio Bedroom(s),1 Bathroom(s),1 Parking Bay(s)",3.115755,https://www.iproperty.com.my/property/education-city-sentral-shah-alam-5558476,101.455582,"Education City Sentral, Setia Alam, Shah Alam","RM 278,000",Low,836 sq. ft.,Freehold
"Jalan Kanchung Darat 28/7, Section 28, Taman Alam, 40150, Se...","3 Bedroom(s),2 Bathroom(s)",3.141202,https://www.iproperty.com.my/property/pangsapuri-sri-angkasa-shah-alam-5054245,101.707306,"Pangsapuri Sri Angkasa, Shah Alam","RM 210,000",Low,944 sq. ft.,Freehold
"Jalan Aman, Desa Aman Puri, 52100, Kuala Lumpur","3 Bedroom(s),2 Bathroom(s),1 Parking Bay(s)",3.210869,https://www.iproperty.com.my/property/aman-dua-kepong-5409725,101.616706,"Aman Dua, Kepong","RM 280,000",Low,837 sq. ft.,Freehold
